accession_numbers,Substrate_ACC,Gene Names,Substrate_GN
NP_003741,Q14152,EIF3A EIF3S10 KIAA0139,EIF3A
NP_476510,Q14161,GIT2 KIAA0148,GIT2
NP_055545,Q14165,MLEC KIAA0152,MLEC
NP_001304,Q14194,CRMP1 DPYSL1 ULIP3,CRMP1
NP_001378,Q14195,DPYSL3 CRMP4 DRP3 ULIP ULIP1,DPYSL3
NP_004073,Q14203,DCTN1,DCTN1
NP_001367,Q14204,DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,DYNC1H1
NP_001171669,Q14247,CTTN EMS1,CTTN
NP_001449,Q14315,FLNC ABPL FLN2,FLNC
NP_005889,Q14444,CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,CAPRIN1
NP_909122,Q14498,RBM39 HCC1 RNPC2,RBM39
NP_002272,Q14533,KRT81 KRTHB1 MLN137,KRT81
NP_055456,Q14676,MDC1 KIAA0170 NFBD1,MDC1
NP_006297,Q14683,SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1,SMC1A
NP_054790,Q14686,NCOA6 AIB3 KIAA0181 RAP250 TRBP,NCOA6
NP_055791,Q14690,PDCD11 KIAA0185,PDCD11
NP_006236,Q14738,PPP2R5D,PPP2R5D
NP_919424,Q14739,LBR,LBR
NP_005106,Q14764,MVP LRP,MVP
NP_005911,Q14814,MEF2D,MEF2D
NP_006139,Q14847,LASP1 MLN50,LASP1
NP_115575,Q14865,ARID5B DESRT MRF2,ARID5B
NP_006433,Q14919,DRAP1,DRAP1
NP_002492,Q14938,NFIX,NFIX
NP_059986,Q14964,RAB39A RAB39,RAB39A
NP_001014972,Q14966,ZNF638 NP220 ZFML,ZNF638
NP_004732,Q14978,NOLC1 KIAA0035 NS5ATP13,NOLC1
NP_006176,Q14980,NUMA1 NMP22 NUMA,NUMA1
NP_032205,Q149F3,Gspt2 Erf3b,Gspt2
NP_542785,Q14CN4,KRT72 K6IRS2 KB35 KRT6 KRT6IRS2,KRT72
NP_079229,Q14CX7,NAA25 C12orf30 MDM20 NAP1,NAA25
NP_055551,Q15004,PCLAF KIAA0101 NS5ATP9 PAF L5,PCLAF
NP_001123561,Q15046,KARS1 KARS KIAA0070,KARS1
NP_055984,Q15050,RRS1 KIAA0112 RRR,RRS1
NP_071496,Q15056,EIF4H KIAA0038 WBSCR1 WSCR1,EIF4H
NP_031397,Q15059,BRD3 KIAA0043 RING3L,BRD3
NP_004026,Q15067,ACOX1 ACOX,ACOX1
NP_009076,Q15072,ZNF146 OZF,ZNF146
NP_003557,Q15075,EEA1 ZFYVE2,EEA1
NP_003759,Q15121,PEA15,PEA15
NP_958782,Q15149,PLEC PLEC1,PLEC
NP_006188,Q15154,PCM1,PCM1
NP_066952,Q15181,PPA1 IOPPP PP,PPA1
NP_006592,Q15185,PTGES3 P23 TEBP,PTGES3
NP_031389,Q15233,NONO NRB54,NONO
NP_821068,Q15257,PTPA PPP2R4,PTPA
NP_542161,Q15287,RNPS1 LDC2,RNPS1
NP_005048,Q15291,RBBP5 RBQ3,RBBP5
NP_006187,Q15365,PCBP1,PCBP1
NP_055693,Q15397,PUM3 cPERP-C KIAA0020 PUF-A XTP5,PUM3
NP_001830,Q15417,CNN3,CNN3
NP_001188267,Q15424,SAFB HAP HET SAFB1,SAFB
NP_001166216,Q15437,SEC23B,SEC23B
NP_005868,Q15459,SF3A1 SAP114,SF3A1
NP_055083,Q15555,MAPRE2 RP1,MAPRE2
NP_006531,Q15596,NCOA2 BHLHE75 SRC2 TIF2,NCOA2
NP_004621,Q15637,SF1 ZFM1 ZNF162,SF1
NP_004230,Q15643,TRIP11 CEV14,TRIP11
NP_004765,Q15648,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2,MED1
NP_004764,Q15649,ZNHIT3 TRIP3,ZNHIT3
NP_001188292,Q15651,HMGN3 TRIP7 PNAS-24,HMGN3
NP_036457,Q15691,MAPRE1,MAPRE1
NP_006800,Q15785,TOMM34 URCC3,TOMM34
NP_001003652,Q15796,SMAD2 MADH2 MADR2,SMAD2
NP_006147,Q15843,NEDD8,NEDD8
NP_006820,Q15847,ADIRF AFRO APM2 C10orf116,ADIRF
NP_001258016,Q15906,VPS72 TCFL1 YL1,VPS72
NP_009066,Q15937,ZNF79,ZNF79
NP_003452,Q15942,ZYX,ZYX
NP_001779,Q16181,SEPTIN7 CDC10 SEPT7,SEPTIN7
NP_003106,Q16222,UAP1 SPAG2,UAP1
NP_001128690,Q16514,TAF12 TAF15 TAF2J TAFII20,TAF12
NP_001914,Q16531,DDB1 XAP1,DDB1
NP_008996,Q16543,CDC37 CDC37A,CDC37
NP_001377,Q16555,DPYSL2 CRMP2 ULIP2,DPYSL2
NP_001185648,Q16576,RBBP7 RBAP46,RBBP7
NP_003178,Q16594,TAF9 TAF2G TAFII31,TAF9
NP_001026854,Q16629,SRSF7 SFRS7,SRSF7
NP_008938,Q16630,CPSF6 CFIM68,CPSF6
NP_003079,Q16658,FSCN1 FAN1 HSN SNL,FSCN1
NP_005522,Q16666,IFI16 IFNGIP1,IFI16
NP_003484,Q16695,H3-4 H3FT HIST3H3,H3-4
NP_001350,Q16698,DECR1 DECR SDR18C1,DECR1
NP_006003,Q16740,CLPP,CLPP
NP_003303,Q16762,TST,TST
NP_003508,Q16777,H2AC20 H2AFQ HIST2H2AC,H2AC20
NP_003519,Q16778,H2BC21 H2BFQ HIST2H2BE,H2BC21
NP_006671,Q16798,ME3,ME3
NP_004554,Q16822,PCK2 PEPCK2,PCK2
NP_001171634,Q16836,HADH HAD HAD1 HADHSC SCHAD,HADH
NP_000777,Q16850,CYP51A1 CYP51,CYP51A1
NP_003725,Q16853,AOC3 VAP1,AOC3
NP_001087240,Q16881,TXNRD1 GRIM12 KDRF,TXNRD1
NP_001074536,Q19LI2,A1bg,A1bg
NP_663329,Q1HFZ0,Nsun2 D13Wsu123e Misu,Nsun2
NP_001093869,Q29RF7,PDS5A KIAA0648 PDS5 PIG54,PDS5A
NP_001034619,Q2EMV9,Parp14 Kiaa1268,Parp14
NP_001070254,Q2KHR3,QSER1,QSER1
NP_940927,Q2M1P5,KIF7 UNQ340/PRO539,KIF7
NP_060598,Q2NL82,TSR1 KIAA1401,TSR1
NP_899044,Q2PZL6,Fat4 Fatj,Fat4
NP_060200,Q2TAL8,QRICH1,QRICH1
NP_081586,Q2VPQ9,Meaf6,Meaf6
NP_073727,Q32MW3,Acot10,Acot10
NP_001011724,Q32P51,HNRNPA1L2 HNRNPA1L,HNRNPA1L2
NP_065767,Q3KR37,GRAMD1B KIAA1201 UNQ3032/PRO9834,GRAMD1B
NP_064618,Q3LIE5,ADPRM C17orf48 MDS006 Nbla03831,ADPRM
NP_258259,Q3SY84,KRT71 K6IRS1 KB34 KRT6IRS1,KRT71
NP_083905,Q3TC72,Fahd2 Fahd2a,Fahd2
NP_075891,Q3THE2,Myl12b Mrlc2 Mylc2b,Myl12b
NP_001034799,Q3THF9,Coq10b,Coq10b
NP_598562,Q3THK3,Gtf2f1,Gtf2f1
NP_084214,Q3THW5,H2az2 H2afv H2av,H2az2
NP_001167549,Q3TKT4,Smarca4 Baf190a Brg1 Snf2b Snf2l4,Smarca4
NP_001074759,Q3TLH4,Prrc2c Bat2d Bat2d1 Bat2l2 Kiaa1096,Prrc2c
NP_001028410,Q3TTA7,Cblb,Cblb
NP_034798,Q3TTY5,Krt2 K2e Krt2-17 Krt2a,Krt2
NP_001074871,Q3TWF6,Wdr70,Wdr70
NP_081633,Q3TXS7,Psmd1,Psmd1
NP_083007,Q3TZZ7,Esyt2 D12Ertd551e Fam62b,Esyt2
NP_034743,Q3U0V1,Khsrp Fubp2,Khsrp
NP_056550,Q3U1J4,Ddb1,Ddb1
NP_758485,Q3U319,Rnf40 Bre1b Kiaa0661,Rnf40
NP_001161359,Q3U8K7,Kmt5b Suv420h1,Kmt5b
NP_082640,Q3UEB3,Puf60 Siahbp1,Puf60
NP_084102,Q3UGR5,Hdhd2,Hdhd2
NP_001028403,Q3UGS4,Mcrip1 Fam195b,Mcrip1
NP_034567,Q3UHF7,Hivep2 Mibp1,Hivep2
NP_001028485,Q3UHX2,Pdap1,Pdap1
NP_001019795,Q3UTQ8,Cdkl5,Cdkl5
NP_001028349,Q3UV17,Krt76,Krt76
NP_001029051,Q3UX10,Tubal3,Tubal3
NP_001028363,Q3UX61,Naa11 Ard1b Ard2,Naa11
NP_001028373,Q3UYV9,Ncbp1 Cbp80,Ncbp1
NP_848473,Q3V132,Slc25a31 Aac4 Ant4 Sfec,Slc25a31
NP_663563,Q3V300,Kif22,Kif22
NP_758512,Q3V3R1,Mthfd1l Fthfsdc1,Mthfd1l
NP_079112,Q499Z4,ZNF672,ZNF672
NP_115958,Q49A26,GLYR1 HIBDL NDF NP60 NPAC,GLYR1
NP_057112,Q4FZB7,KMT5B SUV420H1 CGI-85,KMT5B
NP_001253968,Q4G0J3,LARP7 HDCMA18P,LARP7
NP_082716,Q4KML4,Abracl,Abracl
NP_001193723,Q4LE39,ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180,ARID4B
NP_780519,Q4VA53,Pds5b Aprin As3 Kiaa0979,Pds5b
NP_001019979,Q4VC05,BCL7A,BCL7A
NP_951062,Q501J6,Ddx17,Ddx17
NP_078898,Q53R41,FASTKD1 KIAA1800,FASTKD1
NP_060229,Q53TQ3,INO80D,INO80D
NP_001017992,Q562R1,ACTBL2,ACTBL2
NP_666265,Q569Z6,Thrap3 Trap150,Thrap3
NP_997305,Q56UQ5,,
NP_963903,Q5DU09,Znf652 Kiaa0924 Zfp652,Znf652
NP_001012997,Q5H9L2,TCEAL5,TCEAL5
NP_081075,Q5HZJ0,Drosha Etohi2 Rn3 Rnasen,Drosha
NP_001229236,Q5JRX3,PITRM1 KIAA1104 MP1 PREP,PITRM1
NP_001139488,Q5JTD0,TJAP1 PILT TJP4,TJAP1
NP_055994,Q5JTH9,RRP12 KIAA0690,RRP12
NP_001120675,Q5JVF3,PCID2 HT004,PCID2
NP_001010833,Q5PSV9,Mdc1 Kiaa0170,Mdc1
NP_001010840,Q5QD05,Taar8c,Taar8c
NP_001010837,Q5QD06,Taar8b Gm1149,Taar8b
NP_001010830,Q5QD07,Taar8a Gm230,Taar8a
NP_001154806,Q5QNW6,H2BC18 HIST2H2BF,H2BC18
NP_115496,Q5RL73,RBM48 C7orf64 HSPC304,RBM48
NP_083168,Q5S003,Spag17,Spag17
NP_001239389,Q5SQX6,Cyfip2 Kiaa1168 Pir121,Cyfip2
NP_057371,Q5SSJ5,HP1BP3,HP1BP3
NP_001181933,Q5SVQ0,Kat7 Hbo1 Myst2,Kat7
NP_055627,Q5SW79,CEP170 FAM68A KAB KIAA0470,CEP170
NP_001074400,Q5SWW4,Med13 Kiaa0593 Thrap1 Trap240,Med13
NP_034985,Q5SX39,Myh4,Myh4
NP_109604,Q5SX40,Myh1,Myh1
NP_740749,Q5SXA9,Wwc1 Kiaa0869,Wwc1
NP_003006,Q5T4F7,SFRP5 FRP1B SARP3,SFRP5
NP_071401,Q5T8P6,RBM26 C13orf10 PRO1777,RBM26
NP_114127,Q5T9A4,ATAD3B KIAA1273 TOB3,ATAD3B
NP_001009881,Q5TAX3,TUT4 KIAA0191 ZCCHC11,TUT4
NP_689942,Q5TFE4,NT5DC1 NT5C2L1 LP2642,NT5DC1
NP_060621,Q5UIP0,RIF1,RIF1
NP_003598,Q5VT25,CDC42BPA KIAA0451,CDC42BPA
NP_055877,Q5VV67,PPRC1 KIAA0595,PPRC1
NP_060252,Q5VWN6,TASOR2 C10orf18 FAM208B KIAA2006,TASOR2
NP_689901,Q5VWX1,KHDRBS2 SLM1,KHDRBS2
NP_116238,Q5VYS4,MEDAG AWMS3 C13orf33 MEDA4,MEDAG
NP_080805,Q5XFZ0,,
NP_666097,Q5XJY5,Arcn1 Copd,Arcn1
NP_787028,Q5XKE5,KRT79 K6L KB38 KRT6L,KRT79
NP_001103820,Q60520,Sin3a Kiaa4126,Sin3a
NP_001239211,Q60597,Ogdh Kiaa4192,Ogdh
NP_031829,Q60598,Cttn Ems1,Cttn
NP_001139668,Q60604,Scin,Scin
NP_034990,Q60605,Myl6 Myln,Myl6
NP_001070733,Q60668,Hnrnpd Auf1 Hnrpd,Hnrnpd
NP_038713,Q60722,Tcf4 Itf2 Sef2,Tcf4
NP_035447,Q60749,Khdrbs1,Khdrbs1
NP_035762,Q60803,Traf3 Cap-1 Craf1 Trafamn,Traf3
NP_038636,Q60817,Naca,Naca
NP_058017,Q60864,Stip1,Stip1
NP_001104759,Q60865,Caprin1 Gpiap Gpiap1 Gpip137 M11s1 Rng105 G5E5,Caprin1
NP_034250,Q60872,Eif1a,Eif1a
NP_001028885,Q60929,Mef2a,Mef2a
NP_035825,Q60930,Vdac2 Vdac6,Vdac2
NP_035826,Q60931,Vdac3,Vdac3
NP_035824,Q60932,Vdac1 Vdac5,Vdac1
NP_035993,Q60967,Papss1 Asapk Atpsk1 Papss,Papss1
NP_032704,Q61026,Ncoa2 Grip1 Src2 Tif2,Ncoa2
NP_001073598,Q61029,Tmpo Lap2,Tmpo
NP_032240,Q61035,Hars1 Hars,Hars1
NP_032040,Q61074,Ppm1g Fin13 Ppm1c,Ppm1g
NP_035392,Q61103,Dpf2 Baf45d Req Ubid4,Dpf2
NP_666155,Q61142,Spin1 Spin,Spin1
NP_851839,Q61164,Ctcf,Ctcf
NP_031922,Q61166,Mapre1,Mapre1
NP_032250,Q61191,Hcfc1,Hcfc1
NP_032801,Q61206,Pafah1b2 Pafahb,Pafah1b2
NP_031514,Q61324,Arnt2 Kiaa0307,Arnt2
NP_036190,Q61335,Bcap31 Bap31,Bcap31
NP_032238,Q61425,Hadh Hadhsc Mschad Schad,Hadh
NP_031994,Q61545,Ewsr1 Ews Ewsh,Ewsr1
NP_032010,Q61553,Fscn1 Fan1 Snl,Fscn1
NP_032175,Q61586,Gpam Gpat1,Gpam
NP_032138,Q61598,Gdi2 Gdi3,Gdi2
NP_031512,Q61599,Arhgdib Gdid4,Arhgdib
NP_031942,Q61655,Ddx19a Ddx19 Eif4a-rs1,Ddx19a
NP_033556,Q61687,Atrx Hp1bp2 Xnp,Atrx
NP_034609,Q61696,Hspa1a Hsp70-3 Hsp70A1,Hspa1a
NP_033355,Q61751,Znf354a Kid1 Tcf17 Zfp354a,Znf354a
NP_058662,Q61753,Phgdh,Phgdh
NP_032470,Q61771,Kif3b,Kif3b
NP_034818,Q61792,Lasp1 Mln50,Lasp1
NP_033047,Q61818,Rai1 Kiaa1820,Rai1
NP_780469,Q61879,Myh10,Myh10
NP_032748,Q61937,Npm1,Npm1
NP_035193,Q62048,Pea15 Pea15a,Pea15
NP_032915,Q62084,Ppp1r14b Png,Ppp1r14b
NP_035488,Q62093,Srsf2 Pr264 Sfrs10 Sfrs2,Srsf2
NP_033494,Q62188,Dpysl3 Drp3 Ulip,Dpysl3
NP_787030,Q62261,Sptbn1 Elf Spnb-2 Spnb2 Sptb2,Sptbn1
NP_035718,Q62318,Trim28 Kap1 Krip1 Tif1b,Trim28
NP_033250,Q62376,Snrnp70 Snrp70,Snrnp70
NP_001020433,Q62393,Tpd52,Tpd52
NP_059071,Q62422,Ostf1 Sh3d3 Sh3p2,Ostf1
NP_034884,Q62432,Smad2 Madh2 Madr2,Smad2
NP_038930,Q62446,Fkbp3 Fkbp25,Fkbp3
NP_038535,Q62448,Eif4g2 Nat1,Eif4g2
NP_033362,Q62481,Vps72 Tcfl1 Yl1,Vps72
NP_035907,Q62523,Zyx,Zyx
NP_062287,Q63836,Selenbp2 Lpsb2,Selenbp2
NP_001243000,Q63HN8,RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR,RNF213
NP_001132985,Q64012,Raly Merc,Raly
NP_776101,Q64133,Maoa,Maoa
NP_663430,Q64152,Btf3,Btf3
NP_001034635,Q64331,Myo6 Sv,Myo6
NP_032329,Q64433,Hspe1,Hspe1
NP_031849,Q64462,Cyp4b1,Cyp4b1
NP_783595,Q64475,H2bc3 Hist1h2bb,H2bc3
NP_835504,Q64478,H2bc9 Hist1h2bh,H2bc9
NP_033435,Q64511,Top2b,Top2b
NP_033444,Q64514,Tpp2,Tpp2
NP_835585,Q64522,H2ac21 Hist2h2ab,H2ac21
NP_783593,Q64523,H2ac20 Hist2h2ab Hist2h2ac,H2ac20
NP_835586,Q64524,H2bc21 Hist2h2be,H2bc21
NP_783597,Q64525,Hist2h2bb,Hist2h2bb
NP_033528,Q64727,Vcl,Vcl
NP_034386,Q64737,Gart,Gart
NP_001004436,Q65Z40,Wapl Kiaa0261 Wapal,Wapl
NP_612362,Q66K64,DCAF15 C19orf72,DCAF15
NP_060931,Q66LE6,PPP2R2D KIAA1541,PPP2R2D
NP_061164,Q66PJ3,ARL6IP4,ARL6IP4
NP_084532,Q67FY2,Bcl9l B9l,Bcl9l
NP_056002,Q68CR1,SEL1L3 KIAA0746,SEL1L3
NP_919261,Q68D10,SPTY2D1,SPTY2D1
NP_001012241,Q68DK7,MSL1 MSL1L1,MSL1
NP_075391,Q68E01,INTS3 C1orf193 C1orf60,INTS3
NP_001003908,Q68FD5,Cltc,Cltc
NP_001004144,Q68FF6,Git1,Git1
NP_067389,Q68FL4,Ahcyl2,Ahcyl2
NP_060764,Q69YN2,CWF19L1,CWF19L1
NP_081833,Q69Z61,Pwwp2a Kiaa1935,Pwwp2a
NP_001116148,Q69ZB8,Zcchc2 Kiaa1744,Zcchc2
NP_033328,Q6A028,Swap70 Kiaa0640,Swap70
NP_001003918,Q6A4J8,Usp7 Hausp,Usp7
NP_055618,Q6AHZ1,ZNF518A KIAA0335 ZNF518,ZNF518A
NP_056274,Q6DD88,ATL3,ATL3
NP_061356,Q6DFW4,Nop58 Nol5,Nop58
NP_001108107,Q6DJT9,PLAG1,PLAG1
NP_078993,Q6DN14,MCTP1,MCTP1
NP_001002255,Q6EEV6,SUMO4 SMT3H4,SUMO4
NP_001035807,Q6FI13,H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4,H2AC18
NP_064709,Q6FI81,CIAPIN1 CUA001 PRO0915,CIAPIN1
NP_001229840,Q6FIF0,ZFAND6 AWP1 ZA20D3 HT032,ZFAND6
NP_080322,Q6GQR8,Znf329 Zfp329,Znf329
NP_835584,Q6GSS7,Hist2h2aa1; Hist2h2aa2,Hist2h2aa1;
NP_079351,Q6I9Y2,THOC7 NIF3L1BP1,THOC7
NP_009215,Q6IBS0,TWF2 PTK9L MSTP011,TWF2
NP_955352,Q6IE81,JADE1 KIAA1807 PHF17,JADE1
NP_001003667,Q6IFZ6,Krt77 Krt1b,Krt77
NP_998893,Q6IME9,Krt72 Kb35 Krt72-ps,Krt72
NP_001003668,Q6IMF0,Krt87 Kb25 Krt2-25 Krt83,Krt87
NP_001001491,Q6IRU2,Tpm4,Tpm4
NP_001093162,Q6IS14,EIF5AL1,EIF5AL1
NP_079191,Q6ISB3,GRHL2 BOM TFCP2L3,GRHL2
NP_766012,Q6JPI3,Med13l Kiaa1025 Thrap2 Trap240l,Med13l
NP_796307,Q6KAR6,Exoc3 Sec6l1,Exoc3
NP_597677,Q6KC79,NIPBL IDN3 SCC2,NIPBL
NP_081983,Q6KCD5,Nipbl Scc2,Nipbl
NP_001120680,Q6N021,TET2 KIAA1546 Nbla00191,TET2
NP_852135,Q6NSQ7,Ltv1,Ltv1
NP_037518,Q6NUK1,SLC25A24 APC1 MCSC1 SCAMC1,SLC25A24
NP_776173,Q6NUT2,DPY19L2 UNQ3127/PRO10284,DPY19L2
NP_001108449,Q6NV83,U2surp Sr140,U2surp
NP_001013409,Q6NVF9,Cpsf6,Cpsf6
NP_055177,Q6NVY1,HIBCH,HIBCH
NP_997650,Q6NXH9,Krt73 Kb36,Krt73
NP_620152,Q6NXT1,ANKRD54 LIAR,ANKRD54
NP_001013721,Q6NXT2,H3-5 H3F3C,H3-5
NP_765988,Q6NZB0,Dnajc8,Dnajc8
NP_653113,Q6NZF1,Zc3h11a Kiaa0663,Zc3h11a
NP_036364,Q6NZI2,CAVIN1 PTRF FKSG13,CAVIN1
NP_598838,Q6NZN0,Rbm26,Rbm26
NP_573479,Q6P1B1,Xpnpep1,Xpnpep1
NP_082308,Q6P1F6,Ppp2r2a,Ppp2r2a
NP_114415,Q6P1N9,TATDN1 CDA11,TATDN1
NP_003175,Q6P1X5,TAF2 CIF150 TAF2B,TAF2
NP_001019788,Q6P1Y8,Inpp4b,Inpp4b
NP_796270,Q6P2B1,Tnpo3,Tnpo3
NP_004260,Q6P2C8,MED27 CRSP34 CRSP8,MED27
NP_955368,Q6P2I3,FAHD2B,FAHD2B
NP_006436,Q6P2Q9,PRPF8 PRPC8,PRPF8
NP_006156,Q6P4R8,NFRKB INO80G,NFRKB
NP_001078834,Q6P582,MZT2A FAM128A MOZART2A,MZT2A
NP_001018114,Q6P587,FAHD1 C16orf36 YISKL,FAHD1
NP_955518,Q6P5B0,Rrp12 Kiaa0690,Rrp12
NP_001001152,Q6P5C7,Znf728 Zfp458,Znf728
NP_598775,Q6P5F9,Xpo1 Crm1,Xpo1
NP_598773,Q6P5G3,Mbtd1,Mbtd1
NP_001019793,Q6P8I4,Pcnp,Pcnp
NP_940807,Q6P8J7,Ckmt2,Ckmt2
NP_055842,Q6P996,PDXDC1 KIAA0251,PDXDC1
NP_082509,Q6PB66,Lrpprc Lrp130,Lrpprc
NP_940869,Q6PCB5,RSBN1L,RSBN1L
NP_780520,Q6PD29,Znf513 Zfp513,Znf513
NP_941022,Q6PDC0,Rundc3b Gm440,Rundc3b
NP_001107569,Q6PDG5,Smarcc2 Baf170,Smarcc2
NP_759013,Q6PDI5,Ecpas Ecm29 Kiaa0368,Ecpas
NP_001013398,Q6PDL0,Dync1li2 Dncli2 Dnclic2,Dync1li2
NP_082998,Q6PDM1,Msl1 Msl1l1,Msl1
NP_666091,Q6PDQ2,Chd4,Chd4
NP_079921,Q6PE01,Snrnp40 Wdr57,Snrnp40
NP_079559,Q6PEB6,Mob4 Mob3 Mobkl3 Phocn Prei3,Mob4
NP_579928,Q6PER3,Mapre3,Mapre3
NP_997195,Q6PEY2,TUBA3E,TUBA3E
NP_001034645,Q6PFE3,Rad54b,Rad54b
NP_082384,Q6PGB6,Naa50 Mak3 Nat13,Naa50
NP_059495,Q6PGE4,Znf316 Zfp316,Znf316
NP_001020610,Q6PHZ2,Camk2d Kiaa4163,Camk2d
NP_780611,Q6PHZ5,Rbm15b,Rbm15b
NP_775818,Q6PJ69,TRIM65,TRIM65
NP_919254,Q6PJG2,MIDEAS C14orf117 C14orf43 ELMSAN1,MIDEAS
NP_079100,Q6PJT7,ZC3H14,ZC3H14
NP_054828,Q6PL18,ATAD2 L16 PRO2000,ATAD2
NP_758465,Q6R891,Ppp1r9b,Ppp1r9b
NP_776123,Q6RT24,Cenpe,Cenpe
NP_001229696,Q6UB35,MTHFD1L FTHFSDC1,MTHFD1L
NP_112179,Q6UN15,FIP1L1 FIP1 RHE,FIP1L1
NP_001258467,Q6URW6,Myh14,Myh14
NP_078858,Q6V0I7,FAT4 CDHF14 FATJ Nbla00548,FAT4
NP_665823,Q6VN19,Ranbp10 Kiaa1464,Ranbp10
NP_065901,Q6VN20,RANBP10 KIAA1464,RANBP10
NP_919244,Q6XBJ3,Onecut2 Oc2,Onecut2
NP_659409,Q6ZMR3,LDHAL6A LDHL2,LDHAL6A
NP_945344,Q6ZMT1,STAC2,STAC2
NP_001123656,Q6ZPI0,Jade1 Kiaa1807 Phf17,Jade1
NP_001074725,Q6ZPY7,Kdm3b Jhdm2b Jmjd1b Kiaa1082,Kdm3b
NP_082270,Q6ZQ38,Cand1 D10Ertd516e Kiaa0829,Cand1
NP_598633,Q6ZQ88,Kdm1a Aof2 Kiaa0601 Lsd1,Kdm1a
NP_955003,Q6ZQF7,Jade2 Kiaa0239 Phf15,Jade2
NP_780612,Q6ZQI3,Mlec Kiaa0152,Mlec
NP_114157,Q6ZQQ6,WDR87,WDR87
NP_775840,Q6ZU65,UBN2 KIAA2030,UBN2
NP_031375,Q6ZW49,PAXIP1 PAXIP1L PTIP CAGF28,PAXIP1
NP_443067,Q6ZWV3,Rpl10 Qm,Rpl10
NP_079868,Q6ZWV7,Rpl35,Rpl35
NP_001263326,Q6ZWY6,Ube2d2b,Ube2d2b
NP_079560,Q6ZWY8,Tmsb10 Ptmb10,Tmsb10
NP_835501,Q6ZWY9,H2bc4 Hist1h2bc; H2bc6 Hist1h2be; H2bc8 Hist1h2bg,H2bc4
NP_998754,Q70E73,RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1,RAPH1
NP_066403,Q71DI3,H3C15 HIST2H3A; H3C14 H3F2 H3FM HIST2H3C; H3C13 HIST2H3D,H3C15
NP_056150,Q71F56,MED13L KIAA1025 PROSIT240 THRAP2 TRAP240L,MED13L
NP_776124,Q71RI9,Kyat3 Ccbl2 Kat3,Kyat3
NP_006000,Q71U36,TUBA1A TUBA3,TUBA1A
NP_036544,Q71UI9,H2AZ2 H2AFV H2AV,H2AZ2
NP_060733,Q76L83,ASXL2 ASXH2 KIAA1685,ASXL2
NP_666056,Q78PG9,Ccdc25,Ccdc25
NP_062750,Q78PY7,Snd1,Snd1
NP_001191902,Q7JJ13,Brd2 Fsrg1 Kiaa4005 Ring3,Brd2
NP_055205,Q7KZF4,SND1 TDRD11,SND1
NP_055644,Q7L014,DDX46 KIAA0801,DDX46
NP_055776,Q7L099,RUFY3 KIAA0871,RUFY3
NP_060289,Q7L0Y3,TRMT10C MRPP1 RG9MTD1,TRMT10C
NP_062552,Q7L2J0,MEPCE BCDIN3,MEPCE
NP_075388,Q7L4I2,RSRC2,RSRC2
NP_055423,Q7L576,CYFIP1 KIAA0068,CYFIP1
NP_254280,Q7L7L0,H2AC25 H2AW HIST3H2A,H2AC25
NP_057688,Q7LBC6,KDM3B C5orf7 JHDM2B JMJD1B KIAA1082,KDM3B
NP_778223,Q7RTS7,KRT74 K6IRS4 KB37 KRT5C KRT6IRS4,KRT74
NP_116147,Q7RTV0,PHF5A,PHF5A
NP_001158133,Q7TMB8,Cyfip1 Kiaa0068 Shyc Sra1,Cyfip1
NP_062640,Q7TMK9,Syncrip Hnrpq Nsap1 Nsap1l,Syncrip
NP_033476,Q7TMM9,Tubb2a Tubb2,Tubb2a
NP_079711,Q7TMY4,Thoc7 Nif3l1bp1,Thoc7
NP_598477,Q7TN29,Smap2 Smap1l,Smap2
NP_081647,Q7TND5,Rpf1 Bxdc5,Rpf1
NP_766149,Q7TNE3,Spag7,Spag7
NP_080176,Q7TNV0,Dek,Dek
NP_849207,Q7TPD0,Ints3,Ints3
NP_598917,Q7TPR4,Actn1,Actn1
NP_778172,Q7TQF7,Amph Amph1,Amph
NP_064411,Q7TSC1,Prrc2a Bat2,Prrc2a
NP_080571,Q7TSG2,Ctdp1 Fcp1,Ctdp1
NP_081767,Q7TT45,Rragd Ragd,Rragd
NP_112196,Q7Z2T5,TRMT1L C1orf25 TRM1L MSTP070,TRMT1L
NP_056323,Q7Z3E1,TIPARP PARP7,TIPARP
NP_689625,Q7Z3I7,ZNF572,ZNF572
NP_055915,Q7Z3K3,POGZ KIAA0461 SUHW5 ZNF280E ZNF635 Nbla00003,POGZ
NP_001139281,Q7Z406,MYH14 KIAA2034 FP17425,MYH14
NP_877432,Q7Z4V0,ZNF438,ZNF438
NP_109590,Q7Z5J4,RAI1 KIAA1820,RAI1
NP_055860,Q7Z5K2,WAPL FOE KIAA0261 WAPAL,WAPL
NP_892017,Q7Z5L9,IRF2BP2,IRF2BP2
